Symbol,Name,Price,EPS (Fwd),PE Ratio,Dividend Yield,Target Price,Recommendation,Market Cap,Sector,Industry,Beta,P/B Ratio,Book Value,ROE,Revenue Growth,EPS Growth
A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,21.76,,,,,none,3832371200.0,Industrials,Engineering & Construction,0.091,8.40479,2.589,0.04361,-0.075,
AAATECH.NS,AAA TECHNOLOGIES LIMITED,94.79,,,0.6,,none,1215852416.0,Technology,Information Technology Services,0.225,3.9330318,24.101,0.119440004,0.125,9.243
AADHARHFC.NS,AADHAR HOUSING FINANCE L,504.7,,16.559925,,563.125,strong_buy,218060193792.0,Financial Services,Mortgage Finance,,3.4166687,147.717,0.16851,0.181,0.135
AAKAAR.NS,,,,,,,,,,,,,,,,
AAKASH.NS,AAKASH EXPLORATION SER L,10.17,,,,,none,1084386432.0,Energy,Oil & Gas Equipment & Services,0.461,1.6829389,6.043,,0.071,-0.375
AAREYDRUGS.NS,AAREY DRUGS & PHARM LTD,66.0,,,,,none,1984798208.0,Healthcare,Drug Manufacturers - Specialty & Generic,0.398,11.201629,5.892,0.02967,-0.486,-0.974
AARON.NS,AARON INDUSTRIES LIMITED,407.15,,,0.27,,none,4264163328.0,Industrials,Specialty Industrial Machinery,,9.868389,41.258,0.20903,0.267,0.189
AARTECH.NS,AARTECH SOLONICS LIMITED,70.1,,,0.36,,none,2227105024.0,Industrials,Electrical Equipment & Parts,0.538,7.2853875,9.622,0.090579994,0.058,
AARTIDRUGS.NS,AARTI DRUGS LTD.,523.2,,18.487633,0.22,461.0,none,47752466432.0,Healthcare,Drug Manufacturers - Specialty & Generic,0.412,3.491818,149.836,0.1268,0.092,0.338
AARTIIND.NS,AARTI INDUSTRIES LTD,446.65,,24.595724,0.21,492.81818,hold,169203531776.0,Basic Materials,Specialty Chemicals,0.571,2.897728,154.138,0.060760003,0.099,-0.272
AARTIPHARM.NS,AARTI PHARMALABS LIMITED,951.3,,,0.39,,none,86220693504.0,Healthcare,Drug Manufacturers - Specialty & Generic,-0.415,4.3315334,219.622,0.1454,0.115,0.353
